SignalId;Received;Average Sending;Average Confirming;Average Purchase Time Distribution;y64zivPOMCOK4vB;;;texSaMIEYAQ9VtH;;;4v7SjpBVS5LaGvi;;;3wC8enZlKXdY89c;;;nfhDA6K47pTiUrI;;;6l3bHYYUUIz5ABQ;;;xGI0OANbngry3Ca;;;YQmlRBTYAXAs83h;;;lbWymdYoEKSrA9X;;;z6272FfCB9YOoq9;;;4OwrbE3Fuge7WHe;;;Gqxlpueb2Ac184V;;;U2UbkkUGFpNWmPc;;;eHlqUl1lXl1Efm5;;;3hKz4vhnvUJXk63;;;AfkNKAb7wUlPaL6;;;RUdoFBNdkCE0h6d;;;Q8UlTFNG8p8ZtaZ;;;fRTNU7vUlnbt0Hg;;;QTmMfEaoZjt4KoW;;;
;;;;;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;Sending;Confirmation;Purchase Time;
b2a3e9e4-8e50-41dc-8bd0-89b8dcab55ce;2018-07-25T05:00:00.106Z;1;786;1532494800000;1;786;2018-07-25T05:00:00.000Z;1;786;n/a;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;1;786;2018-07-25T05:00:00.000Z;
446a4457-5d49-4718-a2ae-064b47264329;2018-07-25T05:00:00.109Z;0;1824;1532494800000;0;1824;2018-07-25T05:00:00.000Z;0;1824;n/a;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;0;1824;2018-07-25T05:00:00.000Z;
f732bff3-db1a-416f-8f23-5dd6632ffe50;2018-07-25T05:00:00.114Z;0;1737;1532494800000;0;1737;2018-07-25T05:00:00.000Z;0;1737;n/a;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;0;1737;2018-07-25T05:00:00.000Z;
9d068407-ae83-40ae-ad82-fb3819c647ce;2018-07-25T05:00:00.115Z;0;960;1532494800000;0;960;2018-07-25T05:00:00.000Z;0;960;n/a;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;0;960;2018-07-25T05:00:00.000Z;
b31bf236-aa23-431b-abc7-ed62a319d617;2018-07-25T05:00:00.117Z;0;2775;1532494800000;0;2775;2018-07-25T05:00:00.000Z;0;2775;n/a;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;0;2775;2018-07-25T05:00:00.000Z;
80aa5750-951c-412e-950c-a7cfede6ddcd;2018-07-25T05:00:00.116Z;0;1386;1532494800000;0;1386;2018-07-25T05:00:00.000Z;0;1386;n/a;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;0;1386;2018-07-25T05:00:00.000Z;
3a0c4706-851b-496c-a9a8-f7f2fa793f89;2018-07-25T05:00:00.120Z;0;1276;1532494800000;0;1276;2018-07-25T05:00:00.000Z;0;1276;n/a;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;0;1276;2018-07-25T05:00:00.000Z;
a46b66e5-0863-4441-83dc-b479d0a215f9;2018-07-25T05:00:00.119Z;0;870;1532494800000;0;870;2018-07-25T05:00:00.000Z;0;870;n/a;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;0;870;2018-07-25T05:00:00.000Z;
c9b0dcab-7996-4b06-9772-78e5070b1113;2018-07-25T05:00:00.121Z;1;2199;1532494800000;1;2199;2018-07-25T05:00:00.000Z;1;2199;n/a;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;1;2199;2018-07-25T05:00:00.000Z;
